,Year,Reciever,Grant size (DKK),Description,Institution,Grant Number,Project Category
2076,"År
2018",Mikkel Gabriel Christoffersen,"Beløb
DKK 1,131,277",Ambiguities of Shame (AMOS): Interdisciplinary Contemporary Theology,"Institution
University of Copenhagen",2077,Reintegration Fellowships
2077,"År
2018",Ella Paldam,"Beløb
DKK 1,250,000",How do children co-create play interaction? Cultural frameworks for collaboration,"Institution
Aarhus University",2078,Reintegration Fellowships
2078,"År
2018",Torben Heick Jensen,"Beløb
DKK 150,000",An integrated pipeline for production of antibodies targeted to protein complexes,"Institution
Aarhus University",2079,Research Infrastructure
2079,"År
2018",Ib Friis,"Beløb
DKK 130,000",Vedplanteflora og -vegetation på Afrikas Horn,"Institution
University of Copenhagen",2080,"Field Trips / Research Stays >100,000"
2080,"År
2018",Henrik Jensen,"Beløb
DKK 80,000",Towards high throughput discovery using open source laboratory robotics,"Institution
University of Copenhagen",2081,Research Infrastructure
2081,"År
2018",Alexey Solodovnikov,"Beløb
DKK 90,000",Entomological expedition to Eastern Russia: In search of ancestral populations of Danish beetles,"Institution
University of Copenhagen",2082,"Field Trips / Research Stays < 100,000"
2082,"År
2018",Erik Larsen,"Beløb
DKK 62,567",Mechanism of isosmotic transport in kidney proximal tubule’s S2 segment,"Institution
University of Copenhagen",2083,Research Infrastructure
2083,"År
2018",Nicole Schmitt,"Beløb
DKK 60,000",Ion Channel Symposium 2019,"Institution
University of Copenhagen",2084,Conferences
2084,"År
2018",Ditte Winther-Lindqvist,"Beløb
DKK 46,850",Measured Lives: Theoretical Psychology in an Era of Acceleration,"Institution
Aarhus University",2085,Conferences
2085,"År
2018",Line Munk,"Beløb
DKK 564,794",Enzymatic lignin depolymerization by beta-etherases,Institution,2086,Internationalisation Fellowships
2086,"År
2018",Anders Reinholdt,"Beløb
DKK 425,000",Organometallic Approaches to Conversion of Energy-Carrying Molecules,Institution,2087,Internationalisation Fellowships
2087,"År
2018",Laura Horn,"Beløb
DKK 33,000",fEUtures: Trajectories and imaginaries of European integration,"Institution
Roskilde University",2088,Conferences
2088,"År
2018",Katarzyna Anna Kapitan,"Beløb
DKK 1,313,090",Writing (hi)stories:Danish Antiquarians and Their Reception of Old Norse Literature (1658—1814),"Institution
University of Copenhagen",2089,Strategic Grants
2089,"År
2018",Kristina Winther-Jacobsen,"Beløb
DKK 50,000",Lechaion Harbour Project,"Institution
The Danish Institute at Athens",2090,"Field Trips / Research Stays < 100,000"
2090,"År
2018",Kim Ryholt,"Beløb
DKK 380,000",Oldegyptiske papyri til Papyrus Carlsberg Samlingen,"Institution
University of Copenhagen",2091,Research Infrastructure
2091,"År
2018",Det Danske Institut i Rom,"Beløb
DKK 1,200,000",Dronning Ingrid's Romerske Fond 2019,Institution,2092,Strategic Grants
2092,"År
2018",Dale Kedwards,"Beløb
DKK 1,344,122",The Vikings and the Medieval Future of Space Exploration,"Institution
University of Southern Denmark",2093,Strategic Grants
2093,"År
2018",Poul Nissen,"Beløb
DKK 750,000",Forskningspris 2018 - forskningsbevilling,Institution,2094,Strategic Grants
2094,"År
2018",Duke University,"Beløb
DKK 750,000",Forskningspris 2018 - forskningsbevilling,Institution,2095,Strategic Grants
2095,"År
2018",Poul Nissen,"Beløb
DKK 250,000",Forskningspris 2018 - personlig bevilling,Institution,2096,Strategic Grants
2096,"År
2018",Tim Bollerslev,"Beløb
DKK 250,000",Forskningspris 2018 - personlig bevilling,Institution,2097,Strategic Grants
2097,"År
2018",Niels Kærgård,"Beløb
DKK 50,000",Økonomer i regeringen,"Institution
University of Copenhagen",2098,Publication
2098,"År
2018",Anders Asbjørn Jensen,"Beløb
DKK 15,000",Dansk Selskab for Toksikologi og Farmakologis Årsmøde,"Institution
University of Copenhagen",2099,Conferences
2099,"År
2018","Ny Carlsberg Glyptotek, Christine Buhl Andersen","Beløb
DKK 236,500",Revideret udgave af bestandskatalog vedrørende Glyptotekets Palmyra-samling,"Institution
Ny Carlsberg Glyptotek",2100,Publication
2100,"År
2018",Jan Komarek,"Beløb
DKK 58,320",EU constitutional imagination: Between ideology andutopia,"Institution
University of Copenhagen",2101,Conferences
2101,"År
2018",Eske Willerslev,"Beløb
DKK 19,066,296",Uncovering the genetics of rice resilience to environmental stressors: An ancient genomics approachs,"Institution
University of Copenhagen",2102,Semper Ardens: Advance
2102,"År
2018",Det Danske Institut for Videnskab og Kunst i Rom,"Beløb
DKK 100,000",Hendes Kongelige Højhed Prinsesse Margrethes Legat til videnskabelige studier ved Det Danske Institut i Rom,Institution,2103,Strategic Grants
2103,"År
2018",Lene Schøsler,"Beløb
DKK 34,800",Den 29. kongres inden for romansk sprog og filologi,"Institution
University of Copenhagen",2104,Conferences
2104,"År
2018",Jacob Friis Sherson,"Beløb
DKK 15,080,067",Beyond citizen science: Hybrid intelligences,"Institution
Aarhus University",2105,Semper Ardens: Advance
2105,"År
2018",Kristina Winther-Jacobsen,"Beløb
DKK 77,032",Upgrading the research infrastructure of the Danish Institute at Athens,"Institution
The Danish Institute at Athens",2106,Research Infrastructure
2106,"År
2018",Ulrik Langen,"Beløb
DKK 756,250",Digitalisering af B.W. Luxdorphs samling af trykkefrihedsskrifter,"Institution
University of Copenhagen",2107,Research Infrastructure
2107,"År
2018",Ulrik Langen,"Beløb
DKK 908,276",Trykkefriheden og en ny offentligheds tilblivelse,"Institution
University of Copenhagen",2108,Monograph Fellowships
2108,"År
2018",Walter de Gruyter,"Beløb
DKK 1,610,988",Trykkefriheden og en ny offentligheds tilblivelse,"Institution
Aalborg University",2109,Monograph Fellowships
2109,"År
2018",Peter Birch Sørensen,"Beløb
DKK 2,430,236",A green net national product for Denmark,"Institution
University of Copenhagen",2110,Strategic Grants
2110,"År
2018",Dan Zahavi,"Beløb
DKK 750,000",Forskningspris 2011 - forskningsbevilling,Institution,2111,Strategic Grants
2111,"År
2018",Købenavns Universitet,"Beløb
DKK 545,000",Nordisk øl botanisk set. Fra vikinger til bryggerier,Institution,2112,Carlsberg Mindelegat
2112,"År
2018",Statens Naturhistoriske Museum/Styrelsen for Fors,"Beløb
DKK 3,300,000",Lyden af Danmark,Institution,2113,Carlsberg Mindelegat
2113,"År
2018",Mette Skougaard (Christina Lysbjerg Mogensen),"Beløb
DKK 1,186,488",French Performing Arts in Denmark during the 18th Century: The French Myth in Migration,"Institution
Museum of National History",2114,Strategic Grants
2114,"År
2018",Videnskabernes Selskab / Royal Academy,"Beløb
DKK 5,800,000",Videnskabernes Selskabs drift i 2018,"Institution
Det Kgl. Danske Videnskabernes selskab",2115,Other Grants determined by the Charter
2115,"År
2018",Karin Margarita Frei,"Beløb
DKK 5,635,637",Tales of Bronze Age Peoples,"Institution
National Museum of Denmark",2116,Semper Ardens: Advance
2116,"År
2018",Philipp Schröder,"Beløb
DKK 15,030,369",ReFIND - Research on Firms and Industry Dynamics,"Institution
Aarhus University",2117,Semper Ardens: Advance
2117,"År
2018",Liv Hornekær,"Beløb
DKK 60,000",34th European Conference on Surface Science (ECOSS 34),"Institution
Aarhus University",2118,Conferences
2118,"År
2018",Aarhus Universitet,"Beløb
DKK 50,000",World Robot Olympiad 2016,Institution,2119,Carlsberg Mindelegat
2119,"År
2017",Carlsberg Laboratorium,"Beløb
DKK 300,000",From Science to Business 2017,Institution,2120,Conferences
2120,"År
2017",Det Danske Institut i Rom,"Beløb
DKK 1,200,000",Dronning Ingrid's Romerske Fond 2018,Institution,2121,Strategic Grants
2121,"År
2017",Carlsbergfondet,"Beløb
DKK 60,000",Postdoctoral Networking Day 3. januar 2018,Institution,2122,Activity Grants
2122,"År
2017",Aarhus Universitet,"Beløb
DKK 50,000",World Robot Olympiad 2017,Institution,2123,Carlsberg Mindelegat
2123,"År
2017",Astra,"Beløb
DKK 1,300,000",Naturvidenskabsfestival,Institution,2124,Carlsberg Mindelegat
2124,"År
2017",Fonden Golden Days,"Beløb
DKK 1,500,000",Bloom 2018,Institution,2125,Carlsberg Mindelegat
2125,"År
2017",Studenterforeningen 1820 - fredagstaler,"Beløb
DKK 70,000",Studenterforeningens fredagstaler 2018,Institution,2126,Carlsberg Mindelegat
2126,"År
2017",Graduate Business Conference,"Beløb
DKK 325,000",Graduate Business Conference,Institution,2127,Carlsberg Mindelegat
2127,"År
2017",Aarhus Universitet,"Beløb
DKK 1,000,000",Livestreaming af foredrag 2018,Institution,2128,Carlsberg Mindelegat
2128,"År
2017",Ungdommens Naturvidenskabelige Forening,"Beløb
DKK 100,000",UNF ScienceCamps 2018,Institution,2129,Carlsberg Mindelegat
2129,"År
2017",Frederik Poulsen,"Beløb
DKK 1,122,000",Stories in a Strange Land: Biblical Narratives about Assimilation and Religious Identity,"Institution
University of Copenhagen",2130,Reintegration Fellowships
2130,"År
2017",Francisk Kirkegaard Flugt,"Beløb
DKK 180,000",Erindringer 1971-2009,"Institution
None",2131,Research Infrastructure
2131,"År
2017",Mads Kähler Holst,"Beløb
DKK 180,000",Hær og efterkrigsritual i jernalderen – De dræbte krigere i offermosen i Alken Enge,"Institution
Aarhus University",2132,Publication
2132,"År
2017",Müge Özbek Akcay,"Beløb
DKK 1,266,000",Influence of living in another culture for identity and well-being: The case of Turkish immigrants in Denmark,"Institution
Aarhus University",2133,Reintegration Fellowships
2133,"År
2017",Aske Laursen Brock,"Beløb
DKK 1,053,000","Women and the company: Female agency in global trading companies, 1600-1800","Institution
Aalborg University",2134,Reintegration Fellowships
2134,"År
2017",Jakob Thyrring,"Beløb
DKK 350,000",The influence of multiple stressors on heat stress in rapid warming Arctic,Institution,2135,Internationalisation Fellowships
2135,"År
2017",Signe Barfoed,"Beløb
DKK 700,000","Rediscovering Artemis. A comprehensive re-examination of the Artemis Laphria Sanctuary in Kalydon, Aitolia",Institution,2136,Internationalisation Fellowships
2136,"År
2017",Susanne Ditlevsen,"Beløb
DKK 60,000",International Conference on Mathematical Neuroscience (ICMNS),"Institution
University of Copenhagen",2137,Conferences
2137,"År
2017",Lasse Lindekilde,"Beløb
DKK 133,000",Building Community Resilience: Preventing and Mitigating the Impact of Violent Extremism through Pre-event Risk Communication,"Institution
Aarhus University",2138,"Field Trips / Research Stays < 100,000"
2138,"År
2017",Cecilie Brøns,"Beløb
DKK 3,499,324",Sensing the ancient world: The invisible dimensions of ancient art,"Institution
Ny Carlsberg Glyptotek",2139,Reintegration Fellowships
2139,"År
2017",Knud Jønsson,"Beløb
DKK 4,490,000",Symbiosis between birds and their intestinal microbiota: implications for avian community assembly and global range dynamics,"Institution
University of Copenhagen",2140,Semper Ardens: Accelerate
2140,"År
2017",Thomas B. Poulsen,"Beløb
DKK 4,331,000",Deciphering the Workings of Molecular Bullets – Fast! A High-Throughput Platform for Investigating Biological Mechanisms,"Institution
Aarhus University",2141,Semper Ardens: Accelerate
2141,"År
2017",Thomas Blunier,"Beløb
DKK 1,310,000",History of temperature changes in Greenland,"Institution
University of Copenhagen",2142,Research Infrastructure
2142,"År
2017",Kasper Møller Hansen,"Beløb
DKK 2,600,000",The Danish National Election Study: The Electoral Politics of Populism (EPOP),"Institution
University of Copenhagen",2143,Research Infrastructure
2143,"År
2017",Mikkel Krause Frantzen,"Beløb
DKK 1,135,000",The poetics and politics of grief – a literary history,"Institution
University of Copenhagen",2144,Reintegration Fellowships
2144,"År
2017",Kristoffer Szilas,"Beløb
DKK 54,000","Geological sampling of the drill-core archive in Kangerlussuaq, Greenland","Institution
Geological Survey of Denmark and Greenland (GEUS)",2145,"Field Trips / Research Stays < 100,000"
2145,"År
2017",Anders Bjørk,"Beløb
DKK 1,673,000",Highlighting Greenlandic Historical Ice Speeds [HiGHSpeed],"Institution
University of Copenhagen",2146,Reintegration Fellowships
2146,"År
2017",Rasmus Worsøe Havmøller,"Beløb
DKK 425,000",Food for Thought - Does cognition shape foraging efficiency in a Neotropical frugivore guild?,Institution,2147,Internationalisation Fellowships
2147,"År
2017",Torben Jelsbak,"Beløb
DKK 47,350",Scandinavian Exceptionalisms,"Institution
University of Copenhagen",2148,Conferences
2148,"År
2017",Sune Olander Rasmussen,"Beløb
DKK 4,705,714",ChronoClimate: Deeper insights into abrupt climate change using a new chronological platform,"Institution
University of Copenhagen",2149,Semper Ardens: Accelerate
2149,"År
2017",Mikkel Gerken,"Beløb
DKK 691,310",The Significance of Scientific Testimony,"Institution
University of Southern Denmark",2150,Monograph Fellowships
2150,"År
2017",Rasmus Sevelsted,"Beløb
DKK 350,000",Plato on Art and Society: Towards a unified aesthetic theory,Institution,2151,Internationalisation Fellowships
2151,"År
2017",Søren Handberg,"Beløb
DKK 76,700",Kalydons Nedre Byhøj,"Institution
Det Danske Institut i Athen",2152,"Field Trips / Research Stays < 100,000"
2152,"År
2017",Anders Sevelsted,"Beløb
DKK 1,250,000",The moral elites. Who shaped the Danish welfare state (1890-1933)?,"Institution
Copenhagen Business School",2153,Reintegration Fellowships
2153,"År
2017",Rasmus Glenthøj,"Beløb
DKK 4,377,000",I nederlagets skygge: 1864 i dansk selvforståelse og historiebrug (1864-2014),"Institution
University of Southern Denmark",2154,Semper Ardens: Accelerate
2154,"År
2017",Marcus Møller Larsen,"Beløb
DKK 4,490,000",The firm in the informal economy,"Institution
Copenhagen Business School",2155,Semper Ardens: Accelerate
2155,"År
2017",Mette Bendixen,"Beløb
DKK 425,000",Understanding the influence of proglacial lakes on coastal evolution in Greenland (PROGLAKE),Institution,2156,Internationalisation Fellowships
2156,"År
2017",Anita Berit Hansen,"Beløb
DKK 677,800",Variation and change in the pronunciation of Parisian French - a multifaceted approach,"Institution
University of Copenhagen",2157,Monograph Fellowships
2157,"År
2017",Torben Fridberg,"Beløb
DKK 4,799,100",Participation of Denmark in European Social Survey (ESS) Round 9 - 2018-2019,"Institution
VIVE - Danish Centre of Applied Social Science (until 1. July 2017: SFI)",2158,Research Infrastructure
2158,"År
2017",Tobias Sonne Jensen,"Beløb
DKK 425,000",Physiological and Context Aware Computing as a Foundation for Interdisciplinary Sleep Research,Institution,2159,Internationalisation Fellowships
